CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME
11;25;39157;L;5;0;;Dragounská;el. stanice;V Øekách;31073;Klatovy
11;25;41245;L;1;4;III/36064;;Tøebíè;Kojetice;153;Tøebíè
11;25;51635;L;7;0;;;Popovice;I/52 Brno;33344;Modøice
11;25;5194;L;1;4;III/29913;;Hradec Králové;Smiøice;141;Hradec Králové
11;25;45101;L;7;0;;;D35 Ostrava;I/35 Pøáslavice;30797;Pøáslavice
11;25;51397;L;7;0;;;II/437 Pøáslavice;I/35 Hranice;30797;Pøáslavice
11;25;25977;L;5;0;;Chotìboøská;Sídlištì Praská;Cihláøskı rybník;32056;Havlíèkùv Brod
11;25;1033;L;5;0;;Libušská;Dolní Bøeany;Krè;31010;Hl. m. Praha
11;25;24948;L;5;0;;Chaltická;Mladoboleslavská;Klenovská;186;Praha-Vinoø
11;25;37694;L;5;0;;Stránická;K Pøívozu;prùmyslovı areál;29304;Mìlník
11;25;9979;L;5;0;;Øeporyjská;Jeremiášova;Karlštejnská;31010;Hl. m. Praha
11;25;37704;L;5;0;;Nad Drahou;Komenského;Ovocná;29304;Mìlník
11;25;25475;L;1;2;I/46;obchvat-Šternberk;Olomouc;Moravskı Beroun;28549;Šternberk
11;25;21115;L;1;2;I/38I;obchvat-Znojmo;Dobšice;Kasárna u Znojma;161;Znojmo
11;25;44006;L;7;0;;;II/605 Benešovice;D5 Rozvadov;31354;Benešovice
11;25;43611;L;7;0;;;II/647 Bravantice;D1 Brno;31105;Bravantice
11;25;9279;L;1;3;II/343;;Seè;Svratka;10;Èesko
11;25;25432;L;8;0;D1;;Brno-Slatina;Brno-centrum;33294;Brno
11;25;48728;L;1;4;III/33748;;Starı Dvùr;Heømanùv Mìstec;146;Chrudim
11;25;38003;L;5;0;;nám. Sítná;Cyrila Boudy;Jarosl. Kociána;29045;Kladno
11;25;9999;L;5;0;;Dostihová;Radotínská;Strakonická;221;Praha-Velká Chuchle
11;25;9079;L;5;0;;Ve líbku;Bìchovice;Radonice;31010;Hl. m. Praha
11;25;15162;L;1;4;III/2031;;Vejprnice;Køimice;83;Plzeòskı kraj
11;25;51755;L;7;0;;;Husovice;I/42 Olomouc;249;Brno-sever
11;25;41774;L;5;0;;Oèovská;Legionáøù;Šumná;33558;Hodonín
11;25;40466;L;5;0;;Svobody;Na Drahách;Sokolovská;32753;Rychnov nad Knìnou
11;25;43984;L;7;0;;;D5 Rozvadov;II/198 Mlınec;31386;Pøimda
11;25;41846;L;5;0;;Hanácká;Køeèkovská;U Jordánka;34151;Vyškov
11;25;51287;L;7;0;;;I/24 Èeské Velenice;I/34 Jindøichùv Hradec;30348;Tøeboò
11;25;9599;L;5;0;;Jáchymovská;Rybáøe;Otovice;31027;Karlovy Vary
11;25;36068;L;1;4;III/2624;;Èeská Lípa;Stvolínky-rozvodna;137;Èeská Lípa
11;25;36114;L;1;4;III/1572;;Èeskı Krumlov;Kaplice;114;Èeskı Krumlov
11;25;15125;L;1;4;III/43313;;Ivanovice;Nezamyslice;10;Èesko
11;25;50974;L;7;0;;;I/35 Hrádek nad Nisou;Liberec-Vesec;31657;Liberec
11;25;41715;L;5;0;;Gen. Šimka;Školní;Lidická;33426;Bøeclav
11;25;27891;L;5;0;;Jiráskovo nám.;Dykova;Habrmanova;32194;Hradec Králové
11;25;24920;L;5;0;;Do panenek;K Bìchovicùm;Èeskobrodská;208;Praha-Bìchovice
11;25;51164;L;7;0;;;II/180 Chrást;I/26 Plzeò;31236;Kyšice
11;25;5192;L;5;0;;Bratøí Štefanù;tø. SNP;Kladská;32194;Hradec Králové
11;25;35060;L;5;0;;Dubinská;Bartoòova;Josefa Janáèka;31033;Pardubice
11;25;44636;L;7;0;;;D10 Mladá Boleslav;U Ètyø kamenù;31120;Skorkov
11;25;41712;L;5;0;;Školní;Na Pìšinì;Gen. Šimka;33426;Bøeclav
11;25;44050;L;7;0;;;I/27 Plzeò-Bory;D5 Praha;31011;Plzeò
11;25;15316;L;1;4;III/10163;;Tuklaty;Nehvizdy;81;Støedoèeskı kraj
11;25;9739;L;5;0;;Heydukova;Jablonského;Lazecká;28507;Olomouc
11;25;9306;L;1;3;II/370;;Zábøeh;Bruntál;10;Èesko
11;25;23731;L;5;0;;Novomìstská;Sportovní;Mìøièkova;244;Brno-Øeèkovice a Mokrá Hora
11;25;44622;L;7;0;;;II/101 Brandıs nad Labem;D10 Praha;28561;Zápy
11;25;41116;L;5;0;;Èajkovského;Dobiášova;Slovanského bratrství;30355;Pelhøimov
11;25;23720;L;5;0;;itná;Kuøimská;Mìøièkova;244;Brno-Øeèkovice a Mokrá Hora
11;25;37952;L;5;0;;Vít. Hálka;Pod Studánkou;Talichova;28945;Beroun
11;25;15040;L;5;0;;Engelmüllerova;alanského;Makovského;202;Praha 17
11;25;48317;L;1;4;III/32921;;Kouty;Úmyslovice;108;Nymburk
11;25;47153;L;1;4;III/10534;;Kostelec nad Vltavou;Kováøov;116;Písek
11;25;28025;L;5;0;;Brnìnská;Holická;Svatováclavské nám.;32194;Hradec Králové
11;25;5136;L;5;0;;J. Opletala;Branišovská;O. Nedbala;30084;Èeské Budìjovice
11;25;26820;L;1;4;III/46414;;Bílovec;Olbramice;93;Moravskoslezskı kraj
11;25;46409;L;1;4;III/1505;;Èeské Velenice;Suchdol nad Lunicí;115;Jindøichùv Hradec
