CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME;ROA_LCD;ROA_TYPE;NEG_OFF;POS_OFF
11;25;885;L;3;0;D8;;Trmice;Petrovice;136;Ústí nad Labem;320;L1.1;884;0
11;25;708;L;3;0;I/47;;Vyškov;Kromìøíž;10;Èesko;366;L1.2;0;26453
11;25;26453;L;3;0;I/47;;Kromìøíž;Hulín;167;Kromìøíž;366;L1.2;708;709
11;25;709;L;3;0;I/47;;Pøerov;Ostrava;10;Èesko;366;L1.2;26453;0
11;25;834;L;3;0;II/374;;Brno;Adamov;90;Jihomoravský kraj;567;L1.3;0;835
11;25;835;L;3;0;II/374;;Blansko;Moravská Tøebová;10;Èesko;567;L1.3;834;0
11;25;736;L;3;0;II/180;Plzeòský okruh;Nýøany;Tøemošná;124;Plzeò-sever;1091;L2.2;738;737
11;25;737;L;3;0;II/180;Plzeòský okruh;Tøemošná;Starý Plzenec;83;Plzeòský kraj;1091;L2.2;736;738
11;25;738;L;3;0;II/180;Plzeòský okruh;Starý Plzenec;Nýøany;83;Plzeòský kraj;1091;L2.2;737;736
11;25;829;L;3;0;II/322;;Kolín;Chvaletice;10;Èesko;9258;L1.3;0;830
11;25;830;L;3;0;II/322;;Pardubice;Vysoké Mýto;147;Pardubice;9258;L1.3;829;0
11;25;843;L;3;0;II/137;;Týn nad Vltavou;Tábor;119;Tábor;1179;L1.3;0;844
11;25;844;L;3;0;II/137;;Tábor;Vlašim;10;Èesko;1179;L1.3;843;0
11;25;23672;L;3;0;D48;;Bìlotín;Nový Jièín;10;Èesko;35691;L1.1;0;25813
11;25;25813;L;3;0;D48;;Nový Jièín;Frýdek-Místek;93;Moravskoslezský kraj;35691;L1.1;23672;23674
11;25;23674;L;3;0;D48;;Frýdek-Místek;Èeský Tìšín;93;Moravskoslezský kraj;35691;L1.1;25813;0
11;25;650;L;3;0;I/13;;Karlovy Vary;Chomutov;53;Severozápad;332;L1.2;0;651
11;25;651;L;3;0;I/13;;Chomutov;Teplice;85;Ústecký kraj;332;L1.2;650;743
11;25;743;L;3;0;I/13;;Teplice;Nový Bor;10;Èesko;332;L1.2;651;37575
11;25;37575;L;3;0;I/13;;Nový Bor;Liberec;86;Liberecký kraj;332;L1.2;743;744
11;25;744;L;3;0;I/13;;Liberec;Zgorzelec (PL);139;Liberec;332;L1.2;37575;0
11;25;23635;L;3;0;II/647;;Fulnek;Ostrava;93;Moravskoslezský kraj;23633;L1.3;0;23634
11;25;23634;L;3;0;II/647;;Ostrava;Bohumín;34674;Bohumín;23633;L1.3;23635;0
11;25;769;L;3;0;II/116;;Nový Knín;Beroun;81;Støedoèeský kraj;1158;L1.3;0;770
11;25;770;L;3;0;II/116;;Beroun;Nové Strašecí;81;Støedoèeský kraj;1158;L1.3;769;0
11;25;748;L;3;0;I/31;Sokolská;Rašínova tøída;Brnìnská;32194;Hradec Králové;350;L2.2;777;749
11;25;749;L;3;0;I/31;Goèárùv okruh;Brnìnská;Víta Nejedlého;32194;Hradec Králové;350;L2.2;748;825
11;25;825;L;3;0;I/31;;Víta Nejedlého;M. D. Rettigové;32194;Hradec Králové;350;L2.2;749;777
11;25;777;L;3;0;I/31;;M. D. Rettigové;Rašínova tøída;32194;Hradec Králové;350;L2.2;825;748
11;25;851;L;3;0;II/360;;Moravské Budìjovice;Nové Mìsto na Moravì;89;Vysoèina;9296;L1.3;0;852
11;25;852;L;3;0;II/360;;Nové Mìsto na Moravì;Šedivec;10;Èesko;9296;L1.3;851;0
11;25;23958;L;3;0;I/6;;Marktredwitz (D);Cheb;127;Cheb;325;L1.2;0;23964
11;25;23964;L;3;0;I/6;;Karlovy Vary-západ;Karlovy Vary-východ;128;Karlovy Vary;325;L1.2;23958;23965
11;25;23965;L;3;0;I/6;;Karlovy Vary-východ;Kladno;10;Èesko;325;L1.2;23964;0
11;25;771;L;3;0;II/125;;Tábor;Kolín;10;Èesko;1167;L1.3;0;772
11;25;772;L;3;0;II/125;;Kolín;Podìbrady;81;Støedoèeský kraj;1167;L1.3;771;0
11;25;634;L;3;0;I/7;;Chemnitz (D);Chomutov;131;Chomutov;326;L1.2;0;26465
11;25;26465;L;3;0;I/7;;Chomutov;Louny;31925;Postoloprty;326;L1.2;634;636
11;25;636;L;3;0;I/7;;Louny;Slaný-východ;10;Èesko;326;L1.2;26465;54775
11;25;54775;L;3;0;I/7;;Slaný-východ;Praha;192;Praha 6;326;L1.2;636;0
11;25;857;L;3;0;II/222;;Dolní Nivy;Karlovy Vary;84;Karlovarský kraj;9162;L1.3;0;858
11;25;858;L;3;0;II/222;;Karlovy Vary;Kyselka;128;Karlovy Vary;9162;L1.3;857;0
11;25;677;L;3;0;I/26;;Cham (D);Domažlice;120;Domažlice;345;L1.2;0;678
11;25;678;L;3;0;I/26;;Domažlice;Plzeò-jih;83;Plzeòský kraj;345;L1.2;677;750
11;25;750;L;3;0;I/26;;Plzeò-jih;Ejpovice;83;Plzeòský kraj;345;L1.2;678;0
11;25;849;L;3;0;I/36;;Láznì Bohdaneè;Pardubice;147;Pardubice;355;L1.2;0;850
11;25;850;L;3;0;I/36;;Pardubice;Holice;147;Pardubice;355;L1.2;849;25116
11;25;25116;L;3;0;I/36;;Holice;Kostelec nad Orlicí;54;Severovýchod;355;L1.2;850;0
11;25;642;L;3;0;D10;;Praha;Mladá Boleslav;10;Èesko;329;L1.1;0;643
11;25;643;L;3;0;D10;;Mladá Boleslav;Turnov;10;Èesko;329;L1.1;642;0
11;25;679;L;3;0;I/27;;Regen (D);Plzeò;83;Plzeòský kraj;346;L1.2;0;680
11;25;680;L;3;0;I/27;;Plzeò;Most;10;Èesko;346;L1.2;679;747
11;25;747;L;3;0;I/27;;Most;Teplice;85;Ústecký kraj;346;L1.2;680;0
11;25;773;L;3;0;II/501;;Libáò;Jièín;142;Jièín;9090;L1.3;0;774
11;25;774;L;3;0;II/501;;Jièín;Hoøice;142;Jièín;9090;L1.3;773;0
11;25;714;L;3;0;I/55;;Mistelbach (A);Uherské Hradištì;10;Èesko;374;L1.2;0;715
11;25;715;L;3;0;I/55;;Uherské Hradištì;Hulín;92;Zlínský kraj;374;L1.2;714;23648
11;25;23648;L;3;0;I/55;;Hulín;Pøerov;56;Støední Morava;374;L1.2;715;837
11;25;837;L;3;0;I/55;;Pøerov;Olomouc;91;Olomoucký kraj;374;L1.2;23648;0
11;25;25179;L;3;0;D7;;Chomutov;Louny;85;Ústecký kraj;35702;L1.1;0;25870
11;25;25870;L;3;0;D7;;Louny;Praha;10;Èesko;35702;L1.1;25179;0
11;25;37589;L;3;0;II/366;;Prostìjov;Svitavy;10;Èesko;9302;L1.3;0;37590
11;25;37590;L;3;0;II/366;;Svitavy;Litomyšl;148;Svitavy;9302;L1.3;37589;0
11;25;663;L;3;0;I/19;;Plzeò;Tábor;10;Èesko;338;L1.2;0;664
11;25;664;L;3;0;I/19;;Tábor;Pelhøimov;10;Èesko;338;L1.2;663;0
11;25;807;L;3;0;II/373;;Brno;Benešov (Blansko);90;Jihomoravský kraj;572;L1.3;0;808
11;25;808;L;3;0;II/373;;Brodek u Konice;Litovel;91;Olomoucký kraj;572;L1.3;807;0
11;25;686;L;3;0;I/34;;Èeské Budìjovice;Jindøichùv Hradec;82;Jihoèeský kraj;353;L1.2;0;687
11;25;687;L;3;0;I/34;;Jindøichùv Hradec;Havlíèkùv Brod;10;Èesko;353;L1.2;686;688
11;25;688;L;3;0;I/34;;Havlíèkùv Brod;Moravská Tøebová;10;Èesko;353;L1.2;687;0
11;25;672;L;3;0;I/23;;Sobìslav;Jindøichùv Hradec;82;Jihoèeský kraj;342;L1.2;0;673
